,,,,,,,,,
,,,,,,,,,
NEED,RENT + UTILITIES,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,HEARTS,NOTES,
,,,"-$2,500.00",NULL,NULL,NULL,1/4+,,
,,,"-$2,000.00",NULL,NULL,NULL,,,
,,,"-$1,500.00",NULL,NULL,NULL,1/4-,renting w housemates?,
,,,"-$1,000.00",NULL,NULL,NULL,1/2-,bad apartment...,
,,HERE 0 ENERGY,-$127.00,NULL,NULL,NULL,1/4-,living at home... ,
,,,,,,,,,
,,,,,,,,,
NEED,GROCERIES + COOKING @ HOME,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,HEARTS,NOTES,
,,HERE 0 ENERGY,-$250.00,-$190.50,-$127.00,NULL,,paying my fair share of groceries!,
,,,-$190.50,-$127.00,-$62.50,NULL,,paying my fair share of groceries!,
,,,-$62.50,-$62.50,-$62.50,NULL,,paying my fair share of groceries!,
,,,-$62.50,-$62.50,-$62.50,NULL,,"mostly snacks, tbh",
,,,,,,,,,
,,,,,,,,,
WANT,DINING OUT,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,HEARTS,NOTES,
,,,"-$2,000.00","-$1,750.00",NULL,NULL,1+,"dining out 2.5x a day, plus 1/4 hearts/yr",
,,,"-$1,000.00",-$750.00,NULL,NULL,1/2+,dining out 1x a day,
,,,-$250.00,$190.50,NULL,NULL,1/4+,dining out 2.5x a week,
,,HERE 0 ENERGY,-$127.00,-$62.50,NULL,NULL,,dining out 1x a week,
,,,,,,,,,
,,,,,,,,,
NEED,HEALTHCARE,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,HEARTS,NOTES,NOTES
,,,-$250.00,-$190.50,NULL,NULL,,0.75x modifier on healthcare costs!,working out feels good! plus 1/4 hearts/yr if 1 energy
,,,-$190.50,-$127.00,NULL,NULL,,,working out feels good! plus 1/4 hearts/yr if 1 energy
,,,-$127.00,-$62.50,NULL,NULL,,2x modifier on healthcare costs...,working out feels good! plus 1/4 hearts/yr if 1 energy
,,HERE 0 ENERGY,$0.00,$0.00,NULL,NULL,,on parents' healthcare til 26!,working out feels good! plus 1/4 hearts/yr if 1 energy
,,,,,,,,,
,,,,,,,,,
WANT,TRAVEL + VACATIONS + EXPERIENCES,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,HEARTS,NOTES,
,,,"-$1,000.00",-$750.00,NULL,NULL,1+,,
,,HERE 0 ENERGY,-$250.00,-$190.50,NULL,NULL,1/4+,,
,,,-$127.00,-$62.50,NULL,NULL,,,
,,,,,,,,,
,,,,,,,,,
NEED,TRANSIT + CAR MAINTENANCE + GAS,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,HEARTS,NOTES,
,,,-$750.00,NULL,NULL,NULL,1+,dream car! insurance is expensive..,
,,,-$500.00,NULL,NULL,NULL,,"reliable, classic, safe car",
,,HERE 0 ENERGY,-$250.00,NULL,NULL,NULL,,"cheap car, 2x mod on maintence :(",
,,,-$127.00,NULL,NULL,NULL,1/2-,"no car, just bussin~",
,,,,,,,,,
WANT,SHOPPING,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,HEARTS,NOTES,
,,,"-$1,000.00",-$875.00,NULL,NULL,1/2+,,
,,HERE 0 ENERGY,-$750.00,-$500.00,NULL,NULL,1/4+,,
,,,-$500.00,-$375.00,NULL,NULL,,,
,,,-$250.00,-$127.00,NULL,NULL,,"still gotta buy SOME things, like toiletries...",
,,,,,,,,,
NEED,TRADE SCHOOL EDUCATION,STARTER,0 ENERGY,1 ENERGY,2 ENERGY,3 ENERGY,HEARTS,NOTES,
,,HERE 0 ENERGY,-$500.00,NULL,NULL,NULL,,,
,,,-$250.00,NULL,NULL,NULL,,,
